MWT1,POS1,MWT2,POS2,SWT1,SWT2,Rel
parcelle de forêt,N P N,parcelle de bois,N P N,forêt,bois,QSYN
sommet planète,N N,sommet sur la terre,N P N,planète,terre,QSYN
tourisme vert,N A,tourisme écologique,N A,vert,écologique,QSYN
temps de parcours,N P N,temps de trajet,N P N,parcours,trajet,QSYN
loi sur le changement,N P N,modification de la loi,N P N,changement,modification,QSYN
actions de conservation,N P N,actions vers la préservation,N P N,conservation,préservation,QSYN
gestion de conservation,N P N,protection à la gestion,N P N,conservation,protection,QSYN
élévation progressive,N A,augmentation progressive,N A,élévation,augmentation,QSYN
conservation des produits,N P N,produits de préservation,N P N,conservation,préservation,QSYN
eau dans le monde,N P N,eau sur terre,N P N,monde,terre,QSYN
échelle du monde,N P N,échelle de la planète,N P N,monde,planète,QSYN
impact sur le comportement,N P N,influence sur le comportement,N P N,impact,influence,QSYN
coupe dans une forêt,N P N,coupe de bois,N P N,forêt,bois,QSYN
stockage géologique,N A,séquestration géologique,N A,stockage,séquestration,QSYN
dégradation de la biodiversité,N P N,détérioration de la biodiversité,N P N,dégradation,détérioration,QSYN
idée de conservation,N P N,idée de protection,N P N,conservation,protection,QSYN
suivi environnemental,N A,suivi écologique,N A,environnemental,écologique,QSYN
épaisseur de la glace,N P N,épaisseur de neige,N P N,glace,neige,QSYN
monde au cours,N P N,terre au cours,N P N,monde,terre,QSYN
diminution globale,N A,baisse globale,N A,diminution,baisse,QSYN
flore du parc,N P N,végétation du parc,N P N,flore,végétation,QSYN
dégradation actuelle,N A,sécheresse actuelle,N A,dégradation,sécheresse,QSYN
croissance rapide,N A,développement rapide,N A,croissance,développement,QSYN
réduction des pertes,N P N,diminution des pertes,N P N,réduction,diminution,QSYN
protection efficace,N A,préservation efficace,N A,protection,préservation,QSYN
bilan environnemental,N A,bilan écologique,N A,environnemental,écologique,QSYN
dégradation de la biodiversité,N P N,érosion de la biodiversité,N P N,dégradation,érosion,QSYN
disparition de la population,N P N,extinction de la population,N P N,disparition,extinction,QSYN
réduction de la glace,N P N,diminution de la glace,N P N,réduction,diminution,QSYN
déboisement illégal,N A,défrichement illégal,N A,déboisement,défrichement,QSYN
collectif français,N A,public français,N A,collectif,public,QSYN
modes de conditionnement,N P N,modes de traitement,N P N,conditionnement,traitement,QSYN
utilisation du charbon,N P N,utilisation des gaz,N P N,charbon,gaz,QSYN
environnement dans les années,N P N,milieu des années,N P N,environnement,milieu,QSYN
centre de recyclage,N P N,centre de récupération,N P N,recyclage,récupération,QSYN
conservation des forêts,N P N,protection des forêts,N P N,conservation,protection,QSYN
carbone dans le monde,N P N,carbone de la planète,N P N,monde,planète,QSYN
désertification en afrique,N P N,sécheresse en afrique,N P N,désertification,sécheresse,QSYN
pollution organique,N A,pollution biologique,N A,organique,biologique,QSYN
population en croissance,N P N,accroissement de la population,N P N,croissance,accroissement,QSYN
diminution du prix,N P N,baisse sur le prix,N P N,diminution,baisse,QSYN
environnement travail,N N,travail en milieu,N P N,environnement,milieu,QSYN
absence de glace,N P N,absence de neige,N P N,glace,neige,QSYN
électricité photovoltaïque,N A,énergie photovoltaïque,N A,électricité,énergie,QSYN
environnement de vie,N P N,écologie dans la vie,N P N,environnement,écologie,QSYN
élévation du niveau,N P N,augmentation du niveau,N P N,élévation,augmentation,QSYN
élévation globale,N A,hausse globale,N A,élévation,hausse,QSYN
matière de réutilisation,N P N,valorisation matière,N N,réutilisation,valorisation,QSYN
environnement agricole,N A,milieu agricole,N A,environnement,milieu,QSYN
environnement de travail,N P N,travail en milieu,N P N,environnement,milieu,QSYN
espèces de la forêt,N P N,espèces à bois,N P N,forêt,bois,QSYN
oiseaux dans la région,N P N,oiseaux du pays,N P N,région,pays,QSYN
communauté par rapport,N P N,rapport à la population,N P N,communauté,population,QSYN
réduction du déboisement,N P N,réduction de la déforestation,N P N,déboisement,déforestation,QSYN
poissons dans le lac,N P N,poissons en mer,N P N,lac,mer,QSYN
croissance des peuplements,N P N,développement de peuplements,N P N,croissance,développement,QSYN
niveau de croissance,N P N,développement au niveau,N P N,croissance,développement,QSYN
cause des gaz,N P N,cause du pétrole,N P N,gaz,pétrole,QSYN
forme de charbon,N P N,forme de gaz,N P N,charbon,gaz,QSYN
richesses dans le monde,N P N,richesses de la terre,N P N,monde,terre,QSYN
désertification des sols,N P N,érosion des sols,N P N,désertification,érosion,QSYN
produits de protection,N P N,produits de préservation,N P N,protection,préservation,QSYN
terres dans le monde,N P N,terres de la planète,N P N,monde,planète,QSYN
réduction du taux,N P N,taux de diminution,N P N,réduction,diminution,QSYN
habitat dans une zone,N P N,habitat en milieu,N P N,zone,milieu,QSYN
dégel du pergélisol,N P N,dégel du permafrost,N P N,pergélisol,permafrost,QSYN
plan vert,N A,plan écologique,N A,vert,écologique,QSYN
sécheresse des sols,N P N,érosion des sols,N P N,sécheresse,érosion,QSYN
monde de ressources,N P N,ressources de la planète,N P N,monde,planète,QSYN
modification des cours,N P N,fluctuation des cours,N P N,modification,fluctuation,QSYN
développement rapide,N A,industrialisation rapide,N A,développement,industrialisation,QSYN
croissance de la productivité,N P N,accroissement de la productivité,N P N,croissance,accroissement,QSYN
bouteilles de verre,N P N,bouteilles en plastique,N P N,verre,plastique,QSYN
conservation act,N A,protection act,N A,conservation,protection,QSYN
couverture de neige,N P N,manteau de neige,N P N,couverture,manteau,QSYN
monde de ressources,N P N,planète aux ressources,N P N,monde,planète,QSYN
croissance du trafic,N P N,accroissement du trafic,N P N,croissance,accroissement,QSYN
diminution annuelle,N A,baisse annuelle,N A,diminution,baisse,QSYN
dégradation des sites,N P N,érosion sur les sites,N P N,dégradation,érosion,QSYN
combat pour la conservation,N P N,combat pour la préservation,N P N,conservation,préservation,QSYN
conservation action,N N,action pour la protection,N P N,conservation,protection,QSYN
impact sur la nature,N P N,incidence sur la nature,N P N,impact,incidence,QSYN
milieu local,N A,milieu régional,N A,local,régional,QSYN
intérieur de la région,N P N,intérieur de la zone,N P N,région,zone,QSYN
dégradation des services,N P N,détérioration des services,N P N,dégradation,détérioration,QSYN
biodiversité du monde,N P N,biodiversité de la terre,N P N,monde,terre,QSYN
ordre environnemental,N A,ordre écologique,N A,environnemental,écologique,QSYN
surconsommation des pays,N P N,consommation dans les pays,N P N,surconsommation,consommation,QSYN
augmentation régulière,N A,croissance régulière,N A,augmentation,croissance,QSYN
installation photovoltaïque,N A,installation solaire,N A,photovoltaïque,solaire,QSYN
vie de la planète,N P N,vie sur terre,N P N,planète,terre,QSYN
augmentation actuelle,N A,croissance actuelle,N A,augmentation,croissance,QSYN
conservation naturelle,N A,protection naturelle,N A,conservation,protection,QSYN
biodiversité par la protection,N P N,préservation de la biodiversité,N P N,protection,préservation,QSYN
forum global,N A,forum mondial,N A,global,mondial,QSYN
industrie du charbon,N P N,industrie du pétrole,N P N,charbon,pétrole,QSYN
rapport à la croissance,N P N,développement dans le rapport,N P N,croissance,développement,QSYN
conditionnement des déchets,N P N,traitement des déchets,N P N,conditionnement,traitement,QSYN
environnement dans la région,N P N,environnement dans les pays,N P N,région,pays,QSYN
conservation du bois,N P N,préservation du bois,N P N,conservation,préservation,QSYN
produits de la forêt,N P N,produits en bois,N P N,forêt,bois,QSYN
changement de gouvernement,N P N,gouvernement sur le réchauffement,N P N,changement,réchauffement,QSYN
enfouissement de matières,N P N,élimination des matières,N P N,enfouissement,élimination,QSYN
niveau de la région,N P N,niveau des pays,N P N,région,pays,QSYN
mesure de la contamination,N P N,mesure de la pollution,N P N,contamination,pollution,QSYN
climat sur terre,N P N,climat du globe,N P N,terre,globe,QSYN
projets de reboisement,N P N,projets de reforestation,N P N,reboisement,reforestation,QSYN
formes de vie,N P N,formes du vivant,N P N,vie,vivant,QSYN
recyclage du bois,N P N,valorisation du bois,N P N,recyclage,valorisation,QSYN
alerte climatique,N A,alerte météorologique,N A,climatique,météorologique,QSYN
plantes du globe,N P N,monde des plantes,N P N,globe,monde,QSYN
océans du monde,N P N,océans de la terre,N P N,monde,terre,QSYN
conservation des plantes,N P N,plantes pour une protection,N P N,conservation,protection,QSYN
croissance mondiale,N A,hausse mondiale,N A,croissance,hausse,QSYN
habitat originel,N A,milieu originel,N A,habitat,milieu,QSYN
poumon du monde,N P N,poumon de la terre,N P N,monde,terre,QSYN
habitants dans le monde,N P N,habitants de la terre,N P N,monde,terre,QSYN
sécheresse actuelle,N A,érosion actuelle,N A,sécheresse,érosion,QSYN
augmentation globale,N A,hausse globale,N A,augmentation,hausse,QSYN
augmentation de la demande,N P N,hausse de la demande,N P N,augmentation,hausse,QSYN
nature sur la conservation,N P N,protection de la nature,N P N,conservation,protection,QSYN
modèle politique,N A,formulation de politique,N P N,modèle,formulation,QSYN
hommes du monde,N P N,hommes de la terre,N P N,monde,terre,QSYN
mers du monde,N P N,mers de la planète,N P N,monde,planète,QSYN
filière photovoltaïque,N A,filière solaire,N A,photovoltaïque,solaire,QSYN
augmentation massive,N A,hausse massive,N A,augmentation,hausse,QSYN
matière de climatologie,N P N,matière de météorologie,N P N,climatologie,météorologie,QSYN
région du lac,N P N,région de la mer,N P N,lac,mer,QSYN
nations du monde,N P N,nations de la terre,N P N,monde,terre,QSYN
dégradation progressive,N A,érosion progressive,N A,dégradation,érosion,QSYN
région nord,N A,nord de la zone,N P N,région,zone,QSYN
réutilisation des produits,N P N,valorisation des produits,N P N,réutilisation,valorisation,QSYN
origine solaire,N A,origine thermique,N A,solaire,thermique,QSYN
industrie du charbon,N P N,industrie du gaz,N P N,charbon,gaz,QSYN
environnement dans la politique,N P N,écologie politique,N A,environnement,écologie,QSYN
ressources dans la région,N P N,ressources de la zone,N P N,région,zone,QSYN
incidence défavorable,N A,influence défavorable,N A,incidence,influence,QSYN
environnement au niveau,N P N,écosystème au niveau,N P N,environnement,écosystème,QSYN
échelle du globe,N P N,échelle de la planète,N P N,globe,planète,QSYN
logique propre,N A,logique écologique,N A,propre,écologique,QSYN
environnement sur la santé,N P N,santé du milieu,N P N,environnement,milieu,QSYN
déchets de verre,N P N,déchets de papier,N P N,verre,papier,QSYN
importations de gaz,N P N,importations de pétrole,N P N,gaz,pétrole,QSYN
développement dans le monde,N P N,terre pour le développement,N P N,monde,terre,QSYN
trafic ferroviaire,N A,trafic routier,N A,ferroviaire,routier,QSYN
zones de croissance,N P N,accroissement des zones,N P N,croissance,accroissement,QSYN
protection de la flore,N P N,protection de la végétation,N P N,flore,végétation,QSYN
chaleur sur terre,N P N,énergie sur terre,N P N,chaleur,énergie,QSYN
actions de conservation,N P N,actions pour la préservation,N P N,conservation,préservation,QSYN
arrêt de la croissance,N P N,arrêt du développement,N P N,croissance,développement,QSYN
protection du capital,N P N,préservation du capital,N P N,protection,préservation,QSYN
débat sur le changement,N P N,débat sur le réchauffement,N P N,changement,réchauffement,QSYN
associations de conservation,N P N,associations de protection,N P N,conservation,protection,QSYN
diminution des ressources,N P N,baisse des ressources,N P N,diminution,baisse,QSYN
opérations de capture,N P N,opérations de stockage,N P N,capture,stockage,QSYN
croissance des sociétés,N P N,développement des sociétés,N P N,croissance,développement,QSYN
production de gaz,N P N,production de pétrole,N P N,gaz,pétrole,QSYN
région dans les années,N P N,pays dans les années,N P N,région,pays,QSYN
problèmes de stockage,N P N,charge des problèmes,N P N,stockage,charge,QSYN
producteurs de charbon,N P N,producteurs de gaz,N P N,charbon,gaz,QSYN
influence des processus,N P N,processus de rétroaction,N P N,influence,rétroaction,QSYN
cause de la diminution,N P N,cause de raréfaction,N P N,diminution,raréfaction,QSYN
étapes de transformation,N P N,étapes de traitement,N P N,transformation,traitement,QSYN
défi de conservation,N P N,défi de la protection,N P N,conservation,protection,QSYN
service de la croissance,N P N,service développement,N N,croissance,développement,QSYN
suivi de la désertification,N P N,suivi de la sécheresse,N P N,désertification,sécheresse,QSYN
planète conservation,N N,préservation de la planète,N P N,conservation,préservation,QSYN
environnement travail,N N,milieu de travail,N P N,environnement,milieu,QSYN
croissance des émissions,N P N,hausse des émissions,N P N,croissance,hausse,QSYN
planète rouge,N A,terre rouge,N A,planète,terre,QSYN
coins du monde,N P N,coins de la planète,N P N,monde,planète,QSYN
environnement spécifique,N A,écosystème spécifique,N A,environnement,écosystème,QSYN
fonction de la sensibilité,N P N,vulnérabilité de la fonction,N P N,sensibilité,vulnérabilité,QSYN
changement climatique,N A,dérèglement climatique,N A,changement,dérèglement,QSYN
opérations de valorisation,N P N,opérations de récupération,N P N,valorisation,récupération,QSYN
question de la conservation,N P N,question de la protection,N P N,conservation,protection,QSYN
surexploitation des espèces,N P N,exploitation des espèces,N P N,surexploitation,exploitation,QSYN
cap vert,N A,cap écologique,N A,vert,écologique,QSYN
réduction de co2,N P N,diminution du co2,N P N,réduction,diminution,QSYN
technologies de recyclage,N P N,technologies de valorisation,N P N,recyclage,valorisation,QSYN
déchets dans la région,N P N,déchets des pays,N P N,région,pays,QSYN
hommes du monde,N P N,terre des hommes,N P N,monde,terre,QSYN
diminution des espèces,N P N,raréfaction des espèces,N P N,diminution,raréfaction,QSYN
protection des zones,N P N,préservation des zones,N P N,protection,préservation,QSYN
zone de traitement,N P N,traitement en milieu,N P N,zone,milieu,QSYN
plan environnemental,N A,plan écologique,N A,environnemental,écologique,QSYN
parc de zone,N P N,milieu du parc,N P N,zone,milieu,QSYN
matière biodégradable,N A,matière organique,N A,biodégradable,organique,QSYN
gaz de substitution,N P N,substitution au pétrole,N P N,gaz,pétrole,QSYN
échelon local,N A,échelon régional,N A,local,régional,QSYN
progrès environnemental,N A,progrès écologique,N A,environnemental,écologique,QSYN
prix du charbon,N P N,prix du pétrole,N P N,charbon,pétrole,QSYN
question du changement,N P N,question du réchauffement,N P N,changement,réchauffement,QSYN
surface de la terre,N P N,surface du globe,N P N,terre,globe,QSYN
débat global,N A,débat mondial,N A,global,mondial,QSYN
sensibilité environnementale,N A,vulnérabilité environnementale,N A,sensibilité,vulnérabilité,QSYN
groupes de conservation,N P N,groupes de protection,N P N,conservation,protection,QSYN
vie en communauté,N P N,communauté du vivant,N P N,vie,vivant,QSYN
recharge des nappes,N P N,alimentation des nappes,N P N,recharge,alimentation,QSYN
croissance de la population,N P N,accroissement de la population,N P N,croissance,accroissement,QSYN
question de la protection,N P N,question de la préservation,N P N,protection,préservation,QSYN
électricité à un prix,N P N,prix du courant,N P N,électricité,courant,QSYN
cyclone katrina,N N,ouragan katrina,N N,cyclone,ouragan,QSYN
eau en région,N P N,eau dans les pays,N P N,région,pays,QSYN
zone arctique,N A,milieu arctique,N A,zone,milieu,QSYN
rapport à la croissance,N P N,rapport développement,N N,croissance,développement,QSYN
modèle de base,N P N,scénario de base,N P N,modèle,scénario,QSYN
service de la protection,N P N,service de la préservation,N P N,protection,préservation,QSYN
région en matière,N P N,pays en matière,N P N,région,pays,QSYN
environnement intérieur,N A,milieu intérieur,N A,environnement,milieu,QSYN
croissance des cultures,N P N,développement des cultures,N P N,croissance,développement,QSYN
réduction de la pauvreté,N P N,diminution de la pauvreté,N P N,réduction,diminution,QSYN
preuves du changement,N P N,preuves du réchauffement,N P N,changement,réchauffement,QSYN
concentration des produits,N P N,teneur en produits,N P N,concentration,teneur,QSYN
contamination chimique,N A,pollution chimique,N A,contamination,pollution,QSYN
environnement polaire,N A,milieu polaire,N A,environnement,milieu,QSYN
environnement ville,N N,écologie en ville,N P N,environnement,écologie,QSYN
caractère global,N A,caractère planétaire,N A,global,planétaire,QSYN
voix du monde,N P N,voix de la planète,N P N,monde,planète,QSYN
souci de protection,N P N,souci de préservation,N P N,protection,préservation,QSYN
sites de protection,N P N,préservation des sites,N P N,protection,préservation,QSYN
disparition des habitats,N P N,perte des habitats,N P N,disparition,perte,QSYN
acidification des sols,N P N,contamination des sols,N P N,acidification,contamination,QSYN
environnement politique,N A,politique pour le milieu,N P N,environnement,milieu,QSYN
dégradation des zones,N P N,zones de sécheresse,N P N,dégradation,sécheresse,QSYN
réseau global,N A,réseau mondial,N A,global,mondial,QSYN
serre dans le monde,N P N,serre de la planète,N P N,monde,planète,QSYN
recherche en environnement,N P N,recherche en écologie,N P N,environnement,écologie,QSYN
tendance à la disparition,N P N,tendance au déclin,N P N,disparition,déclin,QSYN
réduction des conséquences,N P N,diminution des conséquences,N P N,réduction,diminution,QSYN
plancher marin,N A,plancher océanique,N A,marin,océanique,QSYN
électricité au charbon,N P N,énergie au charbon,N P N,électricité,énergie,QSYN
croissance des activités,N P N,développement des activités,N P N,croissance,développement,QSYN
dynamique de croissance,N P N,dynamique de développement,N P N,croissance,développement,QSYN
augmentation générale,N A,hausse générale,N A,augmentation,hausse,QSYN
responsabilité de la conservation,N P N,responsabilité de la protection,N P N,conservation,protection,QSYN
gaz de combustion,N P N,combustion du pétrole,N P N,gaz,pétrole,QSYN
prédateur humain,N A,homme prédateur,N A,humain,homme,QSYN
recharge électrique,N A,alimentation électrique,N A,recharge,alimentation,QSYN
impact sur les zone,N P N,impact sur le milieu,N P N,zone,milieu,QSYN
croissance dans la communauté,N P N,communauté du développement,N P N,croissance,développement,QSYN
recyclage des déchets,N P N,récupération des déchets,N P N,recyclage,récupération,QSYN
suivi de la contamination,N P N,suivi de la pollution,N P N,contamination,pollution,QSYN
débat dans le monde,N P N,débat de terre,N P N,monde,terre,QSYN
altération du climat,N P N,perturbation du climat,N P N,altération,perturbation,QSYN
public local,N A,public régional,N A,local,régional,QSYN
savoir vert,N A,savoir écologique,N A,vert,écologique,QSYN
communauté par rapport,N P N,population par rapport,N P N,communauté,population,QSYN
flore naturelle,N A,végétation naturelle,N A,flore,végétation,QSYN
dépendance au charbon,N P N,dépendance au pétrole,N P N,charbon,pétrole,QSYN
croissance des prix,N P N,prix à la hausse,N P N,croissance,hausse,QSYN
environnement des eaux,N P N,écosystème des eaux,N P N,environnement,écosystème,QSYN
villes de la région,N P N,villes des pays,N P N,région,pays,QSYN
taux de déboisement,N P N,taux de dégradation,N P N,déboisement,dégradation,QSYN
eutrophisation des eaux,N P N,pollution dans les eaux,N P N,eutrophisation,pollution,QSYN
nord de la région,N P N,nord de la zone,N P N,région,zone,QSYN
pétrole sur la planète,N P N,pétrole sous terre,N P N,planète,terre,QSYN
communautés de la région,N P N,communautés des pays,N P N,région,pays,QSYN
diminution significative,N A,baisse significative,N A,diminution,baisse,QSYN
croissance des micro-organismes,N P N,développement de micro-organismes,N P N,croissance,développement,QSYN
nature conservation,N N,préservation de la nature,N P N,conservation,préservation,QSYN
conversion industrielle,N A,transformation industrielle,N A,conversion,transformation,QSYN
habitat pour les espèces,N P N,espèces en milieu,N P N,habitat,milieu,QSYN
niveau de réduction,N P N,diminution du niveau,N P N,réduction,diminution,QSYN
diminution de la pollution,N P N,baisse de la pollution,N P N,diminution,baisse,QSYN
vie en santé,N P N,santé du vivant,N P N,vie,vivant,QSYN
mode chauffage,N N,moyen de chauffage,N P N,mode,moyen,QSYN
grâce à la croissance,N P N,grâce au développement,N P N,croissance,développement,QSYN
environnement biologique,N A,écosystème biologique,N A,environnement,écosystème,QSYN
protection des citoyens,N P N,citoyens à la préservation,N P N,protection,préservation,QSYN
eutrophisation du milieu,N P N,dégradation du milieu,N P N,eutrophisation,dégradation,QSYN
contexte global,N A,contexte mondial,N A,global,mondial,QSYN
augmentation en termes,N P N,termes de croissance,N P N,augmentation,croissance,QSYN
position dans le monde,N P N,position sur terre,N P N,monde,terre,QSYN
croissance dans les pays,N P N,développement dans les pays,N P N,croissance,développement,QSYN
protection des sols,N P N,préservation des sols,N P N,protection,préservation,QSYN
partie de la région,N P N,partie de la zone,N P N,région,zone,QSYN
paysans du monde,N P N,paysans sans terre,N P N,monde,terre,QSYN
environnement du bassin,N P N,écosystème du bassin,N P N,environnement,écosystème,QSYN
croissance dans la communauté,N P N,croissance de la population,N P N,communauté,population,QSYN
protection des forêts,N P N,préservation des forêts,N P N,protection,préservation,QSYN
déversement de déchets,N P N,rejet de déchets,N P N,déversement,rejet,QSYN
forêt conservation,N N,conservation du bois,N P N,forêt,bois,QSYN
chaleur utile,N A,énergie utile,N A,chaleur,énergie,QSYN
eau sur la planète,N P N,eau sous terre,N P N,planète,terre,QSYN
matière de stockage,N P N,charge en matière,N P N,stockage,charge,QSYN
contexte environnemental,N A,contexte propre,N A,environnemental,propre,QSYN
demande en électricité,N P N,demande en énergie,N P N,électricité,énergie,QSYN
causes de dégradation,N P N,causes de la désertification,N P N,dégradation,désertification,QSYN
carbone entre forêt,N P N,carbone dans le bois,N P N,forêt,bois,QSYN
protection du patrimoine,N P N,préservation du patrimoine,N P N,protection,préservation,QSYN
idée de croissance,N P N,idée pour le développement,N P N,croissance,développement,QSYN
places de stationnement,N P N,places de parking,N P N,stationnement,parking,QSYN
eutrophisation des eaux,N P N,pollution des eaux,N P N,eutrophisation,pollution,QSYN
habitants de la région,N P N,habitants des pays,N P N,région,pays,QSYN
piégeage du carbone,N P N,séquestration du carbone,N P N,piégeage,séquestration,QSYN
frein à la croissance,N P N,frein au développement,N P N,croissance,développement,QSYN
sécurité du stockage,N P N,charge de la sécurité,N P N,stockage,charge,QSYN
fret ferroviaire,N A,fret routier,N A,ferroviaire,routier,QSYN
croissance entre les pays,N P N,développement des pays,N P N,croissance,développement,QSYN
degré de contamination,N P N,degré de pollution,N P N,contamination,pollution,QSYN
surexploitation des terres,N P N,exploitation des terres,N P N,surexploitation,exploitation,QSYN
augmentation spectaculaire,N A,hausse spectaculaire,N A,augmentation,hausse,QSYN
taux de disparition,N P N,taux de déclin,N P N,disparition,déclin,QSYN
projet collectif,N A,public sur le projet,N P N,collectif,public,QSYN
approvisionnement global,N A,approvisionnement mondial,N A,global,mondial,QSYN
habitants dans le monde,N P N,habitants sur terre,N P N,monde,terre,QSYN
nature sur la conservation,N P N,protection contre nature,N P N,conservation,protection,QSYN
diminution de la fertilité,N P N,baisse de la fertilité,N P N,diminution,baisse,QSYN
surexploitation forestière,N A,exploitation forestière,N A,surexploitation,exploitation,QSYN
environnement industriel,N A,milieu industriel,N A,environnement,milieu,QSYN
cycle de croissance,N P N,cycle de développement,N P N,croissance,développement,QSYN
gestion pour la conservation,N P N,protection à la gestion,N P N,conservation,protection,QSYN
habitat avec un fluide,N P N,fluide vers le milieu,N P N,habitat,milieu,QSYN
habitat riche,N A,milieu riche,N A,habitat,milieu,QSYN
homme sur la planète,N P N,homme sur la terre,N P N,planète,terre,QSYN
déchets en région,N P N,déchets dans la zone,N P N,région,zone,QSYN
production dans la région,N P N,pays de production,N P N,région,pays,QSYN
environnement en fonction,N P N,fonction du milieu,N P N,environnement,milieu,QSYN
cas de changement,N P N,cas de réchauffement,N P N,changement,réchauffement,QSYN
augmentation de la biomasse,N P N,croissance de la biomasse,N P N,augmentation,croissance,QSYN
contexte global,N A,contexte planétaire,N A,global,planétaire,QSYN
monde humain,N A,homme dans le monde,N P N,humain,homme,QSYN
partie de la flore,N P N,partie de la végétation,N P N,flore,végétation,QSYN
modification de la qualité,N P N,détérioration de la qualité,N P N,modification,détérioration,QSYN
eau de la planète,N P N,eau sous terre,N P N,planète,terre,QSYN
conditionnement des déchets,N P N,traitement pour les déchets,N P N,conditionnement,traitement,QSYN
mouvement écologiste,N A,mouvement environnementaliste,N N,écologiste,environnementaliste,QSYN
risque de disparition,N P N,risque de perte,N P N,disparition,perte,QSYN
rapport à la conservation,N P N,rapport avec la protection,N P N,conservation,protection,QSYN
marché de la forêt,N P N,marché du bois,N P N,forêt,bois,QSYN
écosystèmes du monde,N P N,écosystèmes sur terre,N P N,monde,terre,QSYN
réduction des stocks,N P N,diminution des stocks,N P N,réduction,diminution,QSYN
déchets recyclage,N N,récupération des déchets,N P N,recyclage,récupération,QSYN
sol marin,N A,sous-sol marin,N A,sol,sous-sol,QSYN
élevage en europe,N P N,pêche en europe,N P N,élevage,pêche,QSYN
conservation du gibier,N P N,protection du gibier,N P N,conservation,protection,QSYN
taux de disparition,N P N,taux de perte,N P N,disparition,perte,QSYN
objectifs de conservation,N P N,objectifs de préservation,N P N,conservation,préservation,QSYN
surconsommation des ressources,N P N,consommation des ressources,N P N,surconsommation,consommation,QSYN
augmentation rapide,N A,hausse rapide,N A,augmentation,hausse,QSYN
conversion écologique,N A,transformation écologique,N A,conversion,transformation,QSYN
énergie environnement,N N,énergie dans le milieu,N P N,environnement,milieu,QSYN
domaine de la conservation,N P N,domaine de la protection,N P N,conservation,protection,QSYN
arbres en forêt,N P N,arbres pour le bois,N P N,forêt,bois,QSYN
collectif contre le projet,N P N,public sur le projet,N P N,collectif,public,QSYN
conversion des terres,N P N,transformation en terres,N P N,conversion,transformation,QSYN
capacité de stockage,N P N,capacité de séquestration,N P N,stockage,séquestration,QSYN
équilibre global,N A,équilibre planétaire,N A,global,planétaire,QSYN
croissance des économies,N P N,économies en développement,N P N,croissance,développement,QSYN
environnement de vie,N P N,milieu de vie,N P N,environnement,milieu,QSYN
contamination des écosystèmes,N P N,pollution des écosystèmes,N P N,contamination,pollution,QSYN
humanité sur la planète,N P N,humanité sur terre,N P N,planète,terre,QSYN
croissance du taux,N P N,hausse du taux,N P N,croissance,hausse,QSYN
conservation des terres,N P N,protection des terres,N P N,conservation,protection,QSYN
entrave à la croissance,N P N,entrave au développement,N P N,croissance,développement,QSYN
diminution moyenne,N A,baisse moyenne,N A,diminution,baisse,QSYN
planète jardin,N N,terre de jardin,N P N,planète,terre,QSYN
cas de séisme,N P N,cas de tempête,N P N,séisme,tempête,QSYN
stratégie de protection,N P N,stratégie de préservation,N P N,protection,préservation,QSYN
marketing vert,N A,marketing écologique,N A,vert,écologique,QSYN
ong de conservation,N P N,ong de protection,N P N,conservation,protection,QSYN
diminution de la population,N P N,baisse pour la population,N P N,diminution,baisse,QSYN
biodiversité dans le monde,N P N,biodiversité sur terre,N P N,monde,terre,QSYN
individus de la planète,N P N,individus sur terre,N P N,planète,terre,QSYN
surexploitation des milieux,N P N,exploitation des milieux,N P N,surexploitation,exploitation,QSYN
environnement en france,N P N,écologie en france,N P N,environnement,écologie,QSYN
élévation maximale,N A,augmentation maximale,N A,élévation,augmentation,QSYN
sites de conservation,N P N,sites de protection,N P N,conservation,protection,QSYN
système mondial,N A,système planétaire,N A,mondial,planétaire,QSYN
sein de la communauté,N P N,population au sein,N P N,communauté,population,QSYN
action pour la conservation,N P N,action pour la protection,N P N,conservation,protection,QSYN
contamination génétique,N A,pollution génétique,N A,contamination,pollution,QSYN
critique de la croissance,N P N,critique du développement,N P N,croissance,développement,QSYN
incidence positive,N A,influence positive,N A,incidence,influence,QSYN
rapport à la forêt,N P N,bois par rapport,N P N,forêt,bois,QSYN
changement du climat,N P N,refroidissement du climat,N P N,changement,refroidissement,QSYN
autorisation de changement,N P N,autorisation de modification,N P N,changement,modification,QSYN
région subalpine,N A,zone subalpine,N A,région,zone,QSYN
conservation de la vie,N P N,protection de la vie,N P N,conservation,protection,QSYN
arbre de vie,N P N,arbre du vivant,N P N,vie,vivant,QSYN
domaine de la protection,N P N,domaine de la préservation,N P N,protection,préservation,QSYN
diminution importante,N A,baisse importante,N A,diminution,baisse,QSYN
croissance de la température,N P N,accroissement de la température,N P N,croissance,accroissement,QSYN
projet de stockage,N P N,charge du projet,N P N,stockage,charge,QSYN
surconsommation des pays,N P N,consommation des pays,N P N,surconsommation,consommation,QSYN
protection de la nature,N P N,préservation de la nature,N P N,protection,préservation,QSYN
grâce à une diminution,N P N,grâce à la baisse,N P N,diminution,baisse,QSYN
accord sur la conservation,N P N,accord sur la protection,N P N,conservation,protection,QSYN
base de charbon,N P N,base de pétrole,N P N,charbon,pétrole,QSYN
croissance du secteur,N P N,développement dans le secteur,N P N,croissance,développement,QSYN
niveau global,N A,niveau planétaire,N A,global,planétaire,QSYN
peuples du monde,N P N,peuples de la terre,N P N,monde,terre,QSYN
